I,V,R,P,mAh,wh,time,
0.0997,4.1592,41.7315,0.4145,38.9220,0.1628,   0:23:28,
0.0997,4.1591,41.7269,0.4146,39.0467,0.1633,   0:23:32,
0.0996,4.1590,41.7427,0.4144,39.1719,0.1638,   0:23:37,
0.0995,4.1589,41.7851,0.4139,39.2969,0.1643,   0:23:41,
0.0996,4.1588,41.7541,0.4142,39.4217,0.1648,   0:23:46,
0.0996,4.1587,41.7428,0.4143,39.5463,0.1654,   0:23:50,
0.0996,4.1585,41.7683,0.4140,39.6710,0.1659,   0:23:55,
0.0995,4.1584,41.7838,0.4139,39.7966,0.1664,   0:23:59,
0.0995,4.1583,41.7762,0.4139,39.9213,0.1669,   0:24: 4,
0.0996,4.1582,41.7347,0.4143,40.0465,0.1674,   0:24: 8,
0.0996,4.1581,41.7403,0.4142,40.1721,0.1680,   0:24:13,
0.0996,4.1580,41.7491,0.4141,40.2967,0.1685,   0:24:17,
0.0996,4.1579,41.7280,0.4143,40.4213,0.1690,   0:24:22,
0.0996,4.1578,41.7638,0.4139,40.5460,0.1695,   0:24:26,
0.0996,4.1576,41.7590,0.4139,40.6706,0.1700,   0:24:31,
0.0996,4.1575,41.7479,0.4140,40.7953,0.1705,   0:24:35,
0.0996,4.1574,41.7538,0.4140,40.9199,0.1711,   0:24:40,
0.0997,4.1573,41.7122,0.4143,41.0446,0.1716,   0:24:44,
0.0996,4.1572,41.7544,0.4139,41.1691,0.1721,   0:24:49,
0.0996,4.1571,41.7435,0.4140,41.2938,0.1726,   0:24:53,
0.0996,4.1570,41.7290,0.4141,41.4184,0.1731,   0:24:58,
0.0996,4.1569,41.7347,0.4140,41.5430,0.1737,   0:25: 2,
0.0995,4.1567,41.7873,0.4135,41.6676,0.1742,   0:25: 7,
0.0996,4.1566,41.7524,0.4138,41.7921,0.1747,   0:25:11,
0.0996,4.1565,41.7410,0.4139,41.9172,0.1752,   0:25:16,
0.0996,4.1564,41.7397,0.4139,42.0429,0.1757,   0:25:21,
0.0997,4.1563,41.7019,0.4142,42.1680,0.1763,   0:25:25,
0.0996,4.1562,41.7480,0.4138,42.2928,0.1768,   0:25:30,
0.0996,4.1561,41.7266,0.4140,42.4174,0.1773,   0:25:34,
0.0996,4.1560,41.7393,0.4138,42.5420,0.1778,   0:25:39,
0.0995,4.1558,41.7513,0.4137,42.6671,0.1783,   0:25:43,
0.0996,4.1558,41.7336,0.4138,42.7916,0.1788,   0:25:48,
0.0996,4.1556,41.7322,0.4138,42.9162,0.1794,   0:25:52,
0.0995,4.1555,41.7646,0.4135,43.0408,0.1799,   0:25:57,
0.0996,4.1554,41.7131,0.4140,43.1660,0.1804,   0:26: 1,
0.0997,4.1553,41.6783,0.4143,43.2906,0.1809,   0:26: 6,
0.0997,4.1552,41.6976,0.4141,43.4158,0.1814,   0:26:10,
0.0996,4.1550,41.7264,0.4138,43.5404,0.1820,   0:26:15,
0.0996,4.1550,41.7054,0.4139,43.6652,0.1825,   0:26:19,
0.0996,4.1549,41.7146,0.4138,43.7898,0.1830,   0:26:24,
0.0996,4.1547,41.7065,0.4139,43.9151,0.1835,   0:26:28,
0.0996,4.1546,41.7152,0.4138,44.0397,0.1840,   0:26:33,
0.0996,4.1545,41.7308,0.4136,44.1643,0.1845,   0:26:37,
0.0996,4.1544,41.7097,0.4138,44.2895,0.1851,   0:26:42,
0.0996,4.1543,41.7089,0.4138,44.4141,0.1856,   0:26:46,
0.0996,4.1542,41.7143,0.4137,44.5393,0.1861,   0:26:51,
0.0996,4.1541,41.6966,0.4139,44.6645,0.1866,   0:26:55,
0.0996,4.1540,41.7256,0.4135,44.7891,0.1871,   0:27: 0,
0.0996,4.1538,41.7077,0.4137,44.9142,0.1877,   0:27: 4,
